Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,191.7097930908203,151.77003479003906,323.1607360839844,451.8751525878906,207.0,171.5399932861328,334.75,477.7099914550781,208.60000610351562,171.60000610351562,338.0,477.8500061035156,205.8000030517578,169.10000610351562,329.7799987792969,473.8500061035156,207.3300018310547,170.2100067138672,335.3500061035156,476.29998779296875,2055600,6012200,28865100,72668200
2022-01-04,201.9713134765625,151.3630828857422,317.61956787109375,451.72381591796875,218.0800018310547,171.0800018310547,329.010009765625,477.54998779296875,218.9199981689453,172.2899932861328,335.20001220703125,479.9800109863281,207.94000244140625,170.60000610351562,326.1199951171875,475.5799865722656,208.27999877929688,171.05999755859375,334.8299865722656,479.2200012207031,5242300,6748400,32674300,71178700
2022-01-05,203.51795959472656,152.37167358398438,305.4267578125,443.0497131347656,219.75,172.22000122070312,316.3800048828125,468.3800048828125,223.36000061035156,173.47000122070312,326.07000732421875,477.9800109863281,218.17999267578125,171.6199951171875,315.9800109863281,468.2799987792969,218.17999267578125,172.0,325.8599853515625,477.1600036621094,5378200,7016100,40054300,104538900
2022-01-06,205.59251403808594,151.84963989257812,303.0133361816406,442.633544921875,221.99000549316406,171.6300048828125,313.8800048828125,467.94000244140625,222.7100067138672,172.5,318.70001220703125,470.82000732421875,218.05999755859375,170.8000030517578,311.489990234375,465.42999267578125,221.49000549316406,172.14999389648438,313.1499938964844,467.8900146484375,3913200,7301600,39646100,86858900
2022-01-07,207.63003540039062,153.9022979736328,303.16778564453125,440.8835754394531,224.19000244140625,173.9499969482422,314.0400085449219,466.0899963378906,225.97000122070312,174.3000030517578,316.5,469.20001220703125,222.22999572753906,171.1300048828125,310.0899963378906,464.6499938964844,222.5,171.4600067138672,314.1499938964844,467.95001220703125,3673400,6986000,32720000,85111600
2022-01-10,205.26837158203125,153.14138793945312,303.38983154296875,440.3349304199219,221.63999938964844,173.08999633789062,314.2699890136719,465.510009765625,225.75,173.69000244140625,314.7200012207031,465.739990234375,220.61000061035156,172.16000366210938,304.69000244140625,456.6000061035156,224.9499969482422,173.69000244140625,309.489990234375,462.70001220703125,3734900,7698400,44289500,119362000
2022-01-11,203.7031707763672,151.51345825195312,304.0752868652344,444.34564208984375,219.9499969482422,171.25,314.9800109863281,469.75,222.08999633789062,173.38999938964844,316.6099853515625,469.8500061035156,216.58999633789062,170.11000061035156,309.8900146484375,462.04998779296875,222.0,172.99000549316406,313.3800048828125,465.2300109863281,2944300,8341100,29386800,74303100
2022-01-12,205.97216796875,150.22169494628906,307.2513732910156,445.5469055175781,222.39999389648438,169.7899932861328,318.2699890136719,471.0199890136719,223.69000244140625,170.0800018310547,323.4100036621094,473.20001220703125,220.07000732421875,168.33999633789062,317.0799865722656,468.94000244140625,222.1199951171875,169.61000061035156,319.6700134277344,471.5899963378906,2506900,8116200,34372200,67605400
